table_name,field_name,record_id,record_sub_id,field_value,language,translation
stops,stop_name,"","",Lustin,de,Lustin
stops,stop_name,"","",Boitsfort,de,Bosvoorde / Boitsfort
stops,stop_name,"","",Halanzy,de,Halanzy
stops,stop_name,"","",LORRAINE TGV,de,LORRAINE TGV
stops,stop_name,"","",Tilly,de,Tilly
stops,stop_name,"","",Melsele,de,Melsele
stops,stop_name,"","",Furnes,de,Veurne / Furnes
stops,stop_name,"","",Gand-Dampoort,de,Gent-Dampoort / Gand-Dampoort
stops,stop_name,"","",Gand-Saint-Pierre,de,Gent-Sint-Pieters / Gand-Saint-Pierre
stops,stop_name,"","",Meerssen,de,Meerssen
stops,stop_name,"","",Gastuche,de,Gastuche
stops,stop_name,"","",Bissegem,de,Bissegem
stops,stop_name,"","",Gouy-lez-Piéton,de,Gouy-lez-Piéton
stops,stop_name,"","",Maffle,de,Maffle
stops,stop_name,"","",Grand-Bigard,de,Groot-Bijgaarden
stops,stop_name,"","",Grupont,de,Grupont
stops,stop_name,"","",Haacht,de,Haacht
stops,stop_name,"","",Haaltert,de,Haaltert
stops,stop_name,"","",Habay,de,Habay
stops,stop_name,"","",Lot,de,Lot
stops,stop_name,"","",Hamont,de,Hamont
stops,stop_name,"","",Bomal,de,Bomal
stops,stop_name,"","",Lodelinsart,de,Lodelinsart
stops,stop_name,"","",Ham-sur-Heure,de,Ham-sur-Heure
stops,stop_name,"","",Arcades,de,Arcaden
stops,stop_name,"","",Lobbes,de,Lobbes
stops,stop_name,"","",Lissewege,de,Lissewege
stops,stop_name,"","",Hansbeke,de,Hansbeke
stops,stop_name,"","",Strasbourg (FR),de,Strasbourg (FR)
stops,stop_name,"","",Linz Hbf (AT),de,Linz Hbf (AT)
stops,stop_name,"","",Fraipont,de,Fraipont
stops,stop_name,"","",Bierges-Walibi,de,Bierges-Walibi
stops,stop_name,"","",Merelbeke,de,Merelbeke
stops,stop_name,"","",Tilff,de,Tilff
stops,stop_name,"","",Anvers-Noorderdokken,de,Antwerpen-Noorderdokken / Anvers-Noorderdokken
stops,stop_name,"","",Thulin,de,Thulin
stops,stop_name,"","",Malines,de,Mechelen / Malines
stops,stop_name,"","",Alost,de,Aalst / Alost
stops,stop_name,"","",Grammont,de,Geraardsbergen / Grammont
stops,stop_name,"","",Tamise,de,Temse / Tamise
stops,stop_name,"","",Louvain,de,Leuven / Louvain
stops,stop_name,"","",Tamines,de,Tamines
stops,stop_name,"","",Harchies,de,Harchies
stops,stop_name,"","",Bonn-Beuel (DE),de,Bonn-Beuel (DE)
stops,stop_name,"","",Linkebeek,de,Linkebeek
stops,stop_name,"","",Harelbeke,de,Harelbeke
stops,stop_name,"","",Alost Kerrebroek,de,Aalst-Kerrebroek/Alost-Kerrebroek
stops,stop_name,"","",Limburg Sud (DE),de,Limburg Sud (DE)
stops,stop_name,"","",Haren,de,Haren
stops,stop_name,"","",Stockem,de,Stockem
stops,stop_name,"","",Mévergnies-Attre,de,Mévergnies-Attre
stops,stop_name,"","",Anvers-Luchtbal,de,Antwerpen-Luchtbal / Anvers-Luchtbal
stops,stop_name,"","",Méry,de,Méry
stops,stop_name,"","",Franchimont,de,Franchimont
stops,stop_name,"","",Alken,de,Alken
stops,stop_name,"","",Bierset-Awans,de,Bierset-Awans
stops,stop_name,"","",Froyennes,de,Froyennes
stops,stop_name,"","",Gammerages,de,Galmaarden / Gammerages
stops,stop_name,"","",Gavere-Asper,de,Gavere-Asper
stops,stop_name,"","",Gedinne,de,Gedinne
stops,stop_name,"","",Bléret,de,Bléret
stops,stop_name,"","",Malderen,de,Malderen
stops,stop_name,"","",Termonde,de,Dendermonde / Termonde
stops,stop_name,"","",Hainin,de,Hainin
stops,stop_name,"","",Hal,de,Halle / Hal
stops,stop_name,"","",Bokrijk,de,Bokrijk
stops,stop_name,"","",Lonzée,de,Lonzée
stops,stop_name,"","",Hambos,de,Hambos
stops,stop_name,"","",Wervik,de,Wervik
stops,stop_name,"","",Londerzeel,de,Londerzeel
stops,stop_name,"","",Lommel,de,Lommel
stops,stop_name,"","",Hamoir,de,Hamoir
stops,stop_name,"","",Sy,de,Sy
stops,stop_name,"","",Lokeren,de,Lokeren
stops,stop_name,"","",Forrières,de,Forrières
stops,stop_name,"","",Frameries,de,Frameries
stops,stop_name,"","",Mersch (LU),de,Mersch (LU)
stops,stop_name,"","",Franière,de,Franière
stops,stop_name,"","",Frankfurt Main (DE),de,Frankfurt Main (DE)
stops,stop_name,"","",Menin,de,Menen / Menin
stops,stop_name,"","",Melkouwen,de,Melkouwen
stops,stop_name,"","",Tielen,de,Tielen
stops,stop_name,"","",Binche,de,Binche
stops,stop_name,"","",Aarsele,de,Aarsele
stops,stop_name,"","",Masnuy-Saint-Pierre,de,Masnuy-Saint-Pierre
stops,stop_name,"","",Gembloux,de,Gembloux
stops,stop_name,"","",Mainz Hbf (DE),de,Mainz Hbf (DE)
stops,stop_name,"","",Maastricht Randwijck (NL),de,Maastricht Randwijck (NL)
stops,stop_name,"","",Wespelaar-Tildonk,de,Wespelaar-Tildonk
stops,stop_name,"","",Maastricht (NL),de,Maastricht (NL)
stops,stop_name,"","",Boechout,de,Boechout
stops,stop_name,"","",Luttre,de,Luttre
stops,stop_name,"","",Appelterre,de,Appelterre
stops,stop_name,"","",Louvain-la-Neuve,de,Louvain-la-Neuve
stops,stop_name,"","",Zwijndrecht,de,Zwijndrecht
stops,stop_name,"","",Limal,de,Limal
stops,stop_name,"","",Haren-Sud,de,Haren-Zuid / Haren-Sud
stops,stop_name,"","",Sterpenich-Frontière,de,Sterpenich-Frontière
stops,stop_name,"","",Lillois,de,Lillois
stops,stop_name,"","",Hasselt,de,Hasselt
stops,stop_name,"","",Booischot,de,Booischot
stops,stop_name,"","",Lille Flandres (FR),de,Lille Flandres (FR)
stops,stop_name,"","",Haute-Flône,de,Haute-Flône
stops,stop_name,"","",Welle,de,Welle
stops,stop_name,"","",Lille Europe (FR),de,Lille Europe (FR)
stops,stop_name,"","",Haversin,de,Haversin
stops,stop_name,"","",Statte,de,Statte
stops,stop_name,"","",Ligny,de,Ligny
stops,stop_name,"","",Havré,de,Havré
stops,stop_name,"","",Boom,de,Boom
stops,stop_name,"","",Liers,de,Liers
stops,stop_name,"","",Heerlen,de,Heerlen
stops,stop_name,"","",Archennes,de,Eerken / Archennes
stops,stop_name,"","",Lierre,de,Lier / Lierre
stops,stop_name,"","",Heide,de,Heide
stops,stop_name,"","",Spa-Géronstère,de,Spa-Géronstère
stops,stop_name,"","",Lierde,de,Lierde
stops,stop_name,"","",Heist,de,Heist
stops,stop_name,"","",Boondael,de,Boondaal / Boondael
stops,stop_name,"","",Liège-Saint-Lambert,de,Luik-Sint-Lambertus / Liège-Saint-Lambert
stops,stop_name,"","",Heist-op-den-Berg,de,Heist-op-den-Berg
stops,stop_name,"","",Zolder,de,Zolder
stops,stop_name,"","",Liège-Guillemins,de,Luik-Guillemins / Liège-Guillemins
stops,stop_name,"","",Heizijde,de,Heizijde
stops,stop_name,"","",Spa,de,Spa
stops,stop_name,"","",Liège-Carré,de,Luik-Carré / Liège-Carré
stops,stop_name,"","",Hellemmes (FR),de,Hellemmes (FR)
stops,stop_name,"","",Boortmeerbeek,de,Boortmeerbeek
stops,stop_name,"","",Liedekerke,de,Liedekerke
stops,stop_name,"","",Hemiksem,de,Hemiksem
stops,stop_name,"","",Welkenraedt,de,Welkenraedt
stops,stop_name,"","",Lichtervelde,de,Lichtervelde
stops,stop_name,"","",Hennuyères,de,Hennuyères
stops,stop_name,"","",Solre-sur-Sambre,de,Solre-sur-Sambre
stops,stop_name,"","",Libramont,de,Libramont
stops,stop_name,"","",Herentals,de,Herentals
stops,stop_name,"","",Bordet,de,Bordet
stops,stop_name,"","",Lezennes (FR),de,Lezennes (FR)
stops,stop_name,"","",Herent,de,Herent
stops,stop_name,"","",Arlon,de,Aarlen / Arlon
stops,stop_name,"","",Leval,de,Leval
stops,stop_name,"","",Hergenrath,de,Hergenrath
stops,stop_name,"","",Soignies,de,Zinnik / Soignies
stops,stop_name,"","",Hergenrath-Frontière,de,Hergenrath-Frontière
stops,stop_name,"","",Bornem,de,Bornem
stops,stop_name,"","",Leuze,de,Leuze
stops,stop_name,"","",Leudelange (LU),de,Leudelange (LU)
stops,stop_name,"","",Herne,de,Herne
stops,stop_name,"","",Zeebrugge-Dorp,de,Zeebrugge-Dorp
stops,stop_name,"","",Lessines,de,Lessen / Lessines
stops,stop_name,"","",Herseaux,de,Herseaux
stops,stop_name,"","",Sleidinge,de,Sleidinge
stops,stop_name,"","",Lens,de,Lens
stops,stop_name,"","",Herstal,de,Herstal
stops,stop_name,"","",Bourg-Léopold,de,Leopoldsburg / Bourg Léopold
stops,stop_name,"","",Lembeek,de,Lembeek
stops,stop_name,"","",Herzele,de,Herzele
stops,stop_name,"","",Weerde,de,Weerde
stops,stop_name,"","",Leman,de,Leman
stops,stop_name,"","",Herzogenrath,de,Herzogenrath
stops,stop_name,"","",Sint-Martens-Bodegem,de,Sint-Martens-Bodegem
stops,stop_name,"","",Leignon,de,Leignon
stops,stop_name,"","",Heusden,de,Heusden
stops,stop_name,"","",Boussu,de,Boussu
stops,stop_name,"","",Lede,de,Lede
stops,stop_name,"","",Hever,de,Hever
stops,stop_name,"","",Ascq (FR),de,Ascq (FR)
stops,stop_name,"","",Heverlee,de,Heverlee
stops,stop_name,"","",Sint-Mariaburg,de,Sint-Mariaburg
stops,stop_name,"","",Le Campinaire,de,Le Campinaire
stops,stop_name,"","",Lebbeke,de,Lebbeke
stops,stop_name,"","",Hillegem,de,Hillegem
stops,stop_name,"","",Bouwel,de,Bouwel
stops,stop_name,"","",La Roche (brabant),de,La Roche(Brabant)
stops,stop_name,"","",Hoboken-Polder,de,Hoboken-Polder
stops,stop_name,"","",Zedelgem,de,Zedelgem
stops,stop_name,"","",La Panne,de,De Panne / La Panne
stops,stop_name,"","",Hoeilaart,de,Hoeilaart
stops,stop_name,"","",Sint-Katelijne-Waver,de,Sint-Katelijne-Waver
stops,stop_name,"","",Langdorp,de,Langdorp
stops,stop_name,"","",Hofstade,de,Hofstade
stops,stop_name,"","",Bracquegnies,de,Bracquegnies
stops,stop_name,"","",Landskouter,de,Landskouter
stops,stop_name,"","",Holleken,de,Holleken
stops,stop_name,"","",Wavre,de,Waver / Wavre
stops,stop_name,"","",Landgraaf,de,Landgraaf
stops,stop_name,"","",Hollerich (LU),de,Hollerich (LU)
stops,stop_name,"","",Sint-Joris-Weert,de,Sint-Joris-Weert
stops,stop_name,"","",Landen,de,Landen
stops,stop_name,"","",Hony,de,Hony
stops,stop_name,"","",BRAINE-ALLIANCE,de,BRAINE-ALLIANCE
stops,stop_name,"","",Landelies,de,Landelies
stops,stop_name,"","",Houraing,de,Houraing
stops,stop_name,"","",Asse,de,Asse
stops,stop_name,"","",Landegem,de,Landegem
stops,stop_name,"","",Hourpes,de,Hourpes
stops,stop_name,"","",Sint-Gillis,de,Sint-Gillis
stops,stop_name,"","",Lamadeleine (LU),de,Lamadeleine (LU)
stops,stop_name,"","",Houyet,de,Houyet
stops,stop_name,"","",Braine-l'Alleud,de,Braine-l'Alleud
stops,stop_name,"","",La Louvière-Sud,de,La Louvière-Zuid / La Louvière-Sud
stops,stop_name,"","",Hove,de,Hove
stops,stop_name,"","",Amay,de,Amay
stops,stop_name,"","",La Louvière-Centre,de,La Louvière-Centre
stops,stop_name,"","",Huizingen,de,Huizingen
stops,stop_name,"","",Sint-Denijs-Boekel,de,Sint-Denijs-Boekel
stops,stop_name,"","",La Hulpe,de,Terhulpen / La Hulpe
stops,stop_name,"","",Huy,de,Hoei / Huy
stops,stop_name,"","",Braine-le-Comte,de,'s-Gravenbrakel / Braine-le-Comte
stops,stop_name,"","",Labuissière,de,Labuissière
stops,stop_name,"","",Iddergem,de,Iddergem
stops,stop_name,"","",Watermael,de,Watermaal / Watermael
stops,stop_name,"","",Kwatrecht,de,Kwatrecht
stops,stop_name,"","",Idegem,de,Idegem
stops,stop_name,"","",Sinaai,de,Sinaai
stops,stop_name,"","",Kortenberg,de,Kortenberg
stops,stop_name,"","",Ingelmunster,de,Ingelmunster
stops,stop_name,"","",Breda (NL),de,Breda (NL)
stops,stop_name,"","",Kortemark,de,Kortemark
stops,stop_name,"","",Izegem,de,Izegem
stops,stop_name,"","",Assesse,de,Assesse
stops,stop_name,"","",Kontich-Lint,de,Kontich-Lint
stops,stop_name,"","",Jambes,de,Jambes
stops,stop_name,"","",Simonis,de,Simonis
stops,stop_name,"","",Jambes-Est,de,Jambes-Oost / Jambes-Est
stops,stop_name,"","",Bressoux,de,Bressoux
stops,stop_name,"","",KOLN SUD,de,KOLN-SUD
stops,stop_name,"","",Köln Hbf (DE),de,Köln Hbf (DE)
stops,stop_name,"","",Jamioulx,de,Jamioulx
stops,stop_name,"","",Acren,de,Acren
stops,stop_name,"","",KOLN-EHRENFELD,de,KOLN-EHRENFELD
stops,stop_name,"","",Jemappes,de,Jemappes
stops,stop_name,"","",Silly,de,Opzullik / Silly
stops,stop_name,"","",Koblenz Hbf (DE),de,Koblenz Hbf (DE)
stops,stop_name,"","",Jemeppe-sur-Meuse,de,Jemeppe-sur-Meuse
stops,stop_name,"","",Brugelette,de,Brugelette
stops,stop_name,"","",Knokke,de,Knokke
stops,stop_name,"","",Jemeppe-sur-Sambre,de,Jemeppe-sur-Sambre
stops,stop_name,"","",Waterloo,de,Waterloo
stops,stop_name,"","",Kleinbettingen (LU),de,Kleinbettingen (LU)
stops,stop_name,"","",Jette,de,Jette
stops,stop_name,"","",Siegburg (DE),de,Siegburg (DE)
stops,stop_name,"","",Kijkuit,de,Kijkuit
stops,stop_name,"","",Jurbise,de,Jurbeke / Jurbise
stops,stop_name,"","",Bruges,de,Brugge / Bruges
stops,stop_name,"","",Kiewit,de,Kiewit
stops,stop_name,"","",Juslenville,de,Juslenville
stops,stop_name,"","",Ath,de,Aat / Ath
stops,stop_name,"","",Kessel,de,Kessel
stops,stop_name,"","",Kalmthout,de,Kalmthout
stops,stop_name,"","",Serskamp,de,Serskamp
stops,stop_name,"","",Kautenbach (LU),de,Kautenbach (LU)
stops,stop_name,"","",Kapellen,de,Kapellen
stops,stop_name,"","",Bruges-Saint-Pierre,de,Brugge-Sint-Pieters / Bruges-Saint-Pierre
stops,stop_name,"","",Kapelle-op-den-Bos,de,Kapelle-op-den-Bos
stops,stop_name,"","",Zaventem,de,Zaventem
stops,stop_name,"","",Seraing,de,Seraing
stops,stop_name,"","",Brussels Airport-Zaventem,de,Brussels Airport-Zaventem
stops,stop_name,"","",Waremme,de,Borgworm / Waremme
stops,stop_name,"","",Sclessin,de,Sclessin
stops,stop_name,"","",Bruxelles-Central,de,Brus.-/ Brux-Centr.
stops,stop_name,"","",Athus,de,Athus
stops,stop_name,"","",Sclaigneaux,de,Sclaigneaux
stops,stop_name,"","",Bruxelles-Chapelle,de,Brus.-Kap. / Brux.-Chap.
stops,stop_name,"","",Ampsin,de,Ampsin
stops,stop_name,"","",Schulen,de,Schulen
stops,stop_name,"","",Bruxelles-Congrès,de,Brüssel-Congres
stops,stop_name,"","",Athus-Frontière,de,Athus-Frontière
stops,stop_name,"","",Schouweiler (LU),de,Schouweiler (LU)
stops,stop_name,"","",Bruxelles-Luxembourg,de,Brus./Brux.-Luxemb.
stops,stop_name,"","",Zottegem,de,Zottegem
stops,stop_name,"","",Schoonaarde,de,Schoonaarde
stops,stop_name,"","",Bruxelles-Midi,de,Brus.-Zuid / Brux.-Midi
stops,stop_name,"","",Waregem,de,Waregem
stops,stop_name,"","",Schendelbeke,de,Schendelbeke
stops,stop_name,"","",Bruxelles-Nord,de,Brus.-Noord / Brux.-Nord
stops,stop_name,"","",Walcourt,de,Walcourt
stops,stop_name,"","",Schelle,de,Schelle
stops,stop_name,"","",Bruxelles-Ouest,de,Brus.-West / Brux.-Ouest
stops,stop_name,"","",Aubange,de,Aubange
stops,stop_name,"","",Schellebelle,de,Schellebelle
stops,stop_name,"","",Bruxelles-Schuman,de,Brus./Brux.-Schuman
stops,stop_name,"","",Zandbergen,de,Zandbergen
stops,stop_name,"","",Scheldewindeke,de,Scheldewindeke
stops,stop_name,"","",Buda,de,Buda
stops,stop_name,"","",Aubange-Frontière-Luxembourg,de,Aubange-Frontière-Luxembourg
stops,stop_name,"","",Schaerbeek,de,Schaarbeek / Schaerbeek
stops,stop_name,"","",Buggenhout,de,Buggenhout
stops,stop_name,"","",Andenne,de,Andenne
stops,stop_name,"","",Sart-Bernard,de,Sart-Bernard
stops,stop_name,"","",Buizingen,de,Buizingen
stops,stop_name,"","",Waarschoot,de,Waarschoot
stops,stop_name,"","",Salzburg Hbf (AT),de,Salzburg Hbf (AT)
stops,stop_name,"","",Burst,de,Burst
stops,stop_name,"","",Voroux,de,Voroux
stops,stop_name,"","",Saint-Trond,de,Sint-Truiden / Saint-Trond
stops,stop_name,"","",Callenelle,de,Callenelle
stops,stop_name,"","",Audenarde,de,Oudenaarde / Audenarde
stops,stop_name,"","",Saint-Nicolas,de,Sint-Niklaas / Saint-Nicolas
stops,stop_name,"","",Cambron-Casteau,de,Cambron-Casteau
stops,stop_name,"","",Visé-Frontière,de,Visé-Frontière
stops,stop_name,"","",Roubaix (FR),de,Roubaix (FR)
stops,stop_name,"","",Charleroi-Central,de,Charleroi-Central
stops,stop_name,"","",Aye,de,Aye
stops,stop_name,"","",Rotterdam Centraal (NL),de,Rotterdam Centraal (NL)
stops,stop_name,"","",Charleroi-Ouest,de,Charleroi-West / Charleroi-Ouest
stops,stop_name,"","",Aéroport Cdg TGV (FR),de,Aéroport Cdg TGV (FR)
stops,stop_name,"","",Rosenheim (DE),de,Rosenheim (DE)
stops,stop_name,"","",Chastre,de,Chastre
stops,stop_name,"","",Visé,de,Wezet / Visé
stops,stop_name,"","",Roosendaal (NL),de,Roosendaal (NL)
stops,stop_name,"","",Château-de-Seilles,de,Château-de-Seilles
stops,stop_name,"","",Aywaille,de,Aywaille
stops,stop_name,"","",Ronet,de,Ronet
stops,stop_name,"","",Châtelet,de,Châtelet
stops,stop_name,"","",Yves-Gomezée,de,Yves-Gomezée
stops,stop_name,"","",Rodange (LU),de,Rodange (LU)
stops,stop_name,"","",Chaudfontaine,de,Chaudfontaine
stops,stop_name,"","",Virton,de,Virton
stops,stop_name,"","",Rochefort-Jemelle,de,Rochefort-Jemelle
stops,stop_name,"","",Chênée,de,Chênée
stops,stop_name,"","",Baasrode-Zuid,de,Baasrode-Zuid / Baasrode-Sud
stops,stop_name,"","",Rixensart,de,Rixensart
stops,stop_name,"","",Ciney,de,Ciney
stops,stop_name,"","",Angleur,de,Angleur
stops,stop_name,"","",Rivage,de,Rivage
stops,stop_name,"","",Clervaux (LU),de,Clervaux (LU)
stops,stop_name,"","",Vilvorde,de,Vilvoorde / Vilvorde
stops,stop_name,"","",Rhode-Saint-Genèse,de,St.-Gen.-Rode/Rhode-St-Gen.
stops,stop_name,"","",Comblain-la-Tour,de,Comblain-la-Tour
stops,stop_name,"","",Baisieux (FR),de,Baisieux (FR)
stops,stop_name,"","",Rhisnes,de,Rhisnes
stops,stop_name,"","",Comines,de,Komen / Comines
stops,stop_name,"","",Aarschot,de,Aarschot
stops,stop_name,"","",Renaix,de,Ronse / Renaix
stops,stop_name,"","",Coo,de,Coo
stops,stop_name,"","",Villers-la-Ville,de,Villers-la-Ville
stops,stop_name,"","",Remicourt,de,Remicourt
stops,stop_name,"","",Couillet,de,Couillet
stops,stop_name,"","",Balegem-Dorp,de,Balegem-Dorp / Balegem-Village
stops,stop_name,"","",Rebaix,de,Rebaix
stops,stop_name,"","",Courcelles-Motte,de,Courcelles-Motte
stops,stop_name,"","",Ypres,de,Ieper / Ypres
stops,stop_name,"","",Quiévrain,de,Quiévrain
stops,stop_name,"","",Courrière,de,Courrière
stops,stop_name,"","",Zingem,de,Zingem
stops,stop_name,"","",Saint-Job,de,Sint-Job / Saint-Job
stops,stop_name,"","",Capellen (LU),de,Capellen (LU)
stops,stop_name,"","",Viville,de,Viville
stops,stop_name,"","",Saint-Ghislain,de,Saint-Ghislain
stops,stop_name,"","",Carlsbourg,de,Carlsbourg
stops,stop_name,"","",Aulnoye Aymeries (FR),de,Aulnoye Aymeries (FR)
stops,stop_name,"","",Saint-Denis-Bovesse,de,Saint-Denis-Bovesse
stops,stop_name,"","",Carnières,de,Carnières
stops,stop_name,"","",Yvoir,de,Yvoir
stops,stop_name,"","",Ruisbroek-Sauvegarde,de,Ruisbroek-Sauvegarde
stops,stop_name,"","",Céroux-Mousty,de,Céroux-Mousty
stops,stop_name,"","",Vivier D'Oie,de,Diesdelle / Vivier D'Oie
stops,stop_name,"","",Ruisbroek,de,Ruisbroek
stops,stop_name,"","",Champagne-Ardenne TGV (FR),de,Champagne-Ardenne TGV (FR)
stops,stop_name,"","",Auvelais,de,Auvelais
stops,stop_name,"","",Roux,de,Roux
stops,stop_name,"","",Chapelle-Dieu,de,Chapelle-Dieu
stops,stop_name,"","",Anderlecht,de,Anderlecht
stops,stop_name,"","",Roulers,de,Roeselare / Roulers
stops,stop_name,"","",Chapois,de,Chapois
stops,stop_name,"","",Ville-Pommeroeul,de,Ville-Pommeroeul
stops,stop_name,"","",QUEVY-FRONTIERE,de,QUEVY-FRONTIERE
stops,stop_name,"","",Cour-sur-Heure,de,Cour-sur-Heure
stops,stop_name,"","",Balegem-Zuid,de,Balegem-Zuid / Balegem-Sud
stops,stop_name,"","",Quévy,de,Quévy
stops,stop_name,"","",Courtrai,de,Kortrijk / Courtrai
stops,stop_name,"","",Poix-Saint-Hubert,de,Poix-Saint-Hubert
stops,stop_name,"","",Delta,de,Delta
stops,stop_name,"","",Viane-Moerbeke,de,Viane-Moerbeke
stops,stop_name,"","",Piéton,de,Piéton
stops,stop_name,"","",Denderleeuw,de,Denderleeuw
stops,stop_name,"","",Bascharage-Sanem (LU),de,Bascharage-Sanem (LU)
stops,stop_name,"","",Philippeville,de,Philippeville
stops,stop_name,"","",De Pinte,de,De Pinte
stops,stop_name,"","",Aiseau,de,Aiseau
stops,stop_name,"","",Pfaffenthal-Kirchberg (LU),de,Pfaffenthal-Kirchberg (LU)
stops,stop_name,"","",Diegem,de,Diegem
stops,stop_name,"","",Verviers-Palais,de,Verviers-Paleis / Verviers-Palais
stops,stop_name,"","",Pétange (LU),de,Pétange (LU)
stops,stop_name,"","",Diepenbeek,de,Diepenbeek
stops,stop_name,"","",Bas-Oha,de,Bas-Oha
stops,stop_name,"","",Péruwelz,de,Péruwelz
stops,stop_name,"","",Diest,de,Diest
stops,stop_name,"","",Anseremme,de,Anseremme
stops,stop_name,"","",Pepinster,de,Pepinster
stops,stop_name,"","",Dilbeek,de,Dilbeek
stops,stop_name,"","",Verviers-Central,de,Verviers-Centraal / Verviers-Central
stops,stop_name,"","",Pepinster-Cité,de,Pepinster-Cité
stops,stop_name,"","",Dinant,de,Dinant
stops,stop_name,"","",Basse-Wavre,de,Basse-Wavre
stops,stop_name,"","",Pécrot,de,Pécrot
stops,stop_name,"","",Dippach-Reckange (LU),de,Dippach-Reckange (LU)
stops,stop_name,"","",Aalter,de,Aalter
stops,stop_name,"","",Paris Nord (FR),de,Paris Nord (FR)
stops,stop_name,"","",Dixmude,de,Diksmuide/Dixmude
stops,stop_name,"","",Vertrijk,de,Vertrijk
stops,stop_name,"","",Papignies,de,Papignies
stops,stop_name,"","",Dolhain-Gileppe,de,Dolhain-Gileppe
stops,stop_name,"","",Beauraing,de,Beauraing
stops,stop_name,"","",Paliseul,de,Paliseul
stops,stop_name,"","",Drauffelt (LU),de,Drauffelt (LU)
stops,stop_name,"","",Wolfstee,de,Wolfstee
stops,stop_name,"","",Overpelt,de,Overpelt
stops,stop_name,"","",Duffel,de,Duffel
stops,stop_name,"","",Veltem,de,Veltem
stops,stop_name,"","",Ougrée,de,Ougrée
stops,stop_name,"","",Duinbergen,de,Duinbergen
stops,stop_name,"","",Beernem,de,Beernem
stops,stop_name,"","",Oud-Heverlee,de,Oud-Heverlee
stops,stop_name,"","",Ecaussinnes,de,Ecaussinnes
stops,stop_name,"","",Wilwerwiltz (LU),de,Wilwerwiltz (LU)
stops,stop_name,"","",Oudegem,de,Oudegem
